$ adb shell ps -A
USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root           176     2          0      0 0                   0 I [kworker/R-panel0:panel-update]
root           177     2          0      0 0                   0 I [kworker/R-panel0:evasion-disp-det]
root           178     2          0      0 0                   0 I [kworker/R-panel0:late_probe]
root           179     2          0      0 0                   0 S [panel-bl-thread]
root           180     2          0      0 0                   0 I [kworker/R-abd_blank_workqueue]
root           181     2          0      0 0                   0 I [kworker/R-wq_vsync]
root           182     2          0      0 0                   0 I [kworker/R-wq_fsync]
root           183     2          0      0 0                   0 I [kworker/R-wq_dispon]
root           184     2          0      0 0                   0 I [kworker/R-wq_panel_probe]
root           185     2          0      0 0                   0 S [card0-crtc0]
root           186     2          0      0 0                   0 S [card0-crtc1]
root           187     2          0      0 0                   0 S [card0-crtc2]
root           188     2          0      0 0                   0 S [card0-crtc3]
root           189     2          0      0 0                   0 I [kworker/R-cmdq_flushq]
root           190     2          0      0 0                   0 I [kworker/R-cmdq_flushq]
root           191     2          0      0 0                   0 I [kworker/R-cmdq_flushq]
root           192     2          0      0 0                   0 I [kworker/R-cmdq_flushq]
root           193     2          0      0 0                   0 S [mtk_drm_disp_idlemgr-0]
root           194     2          0      0 0                   0 S [dis_ki-0]
root           195     2          0      0 0                   0 S [enable_vblank]
root           196     2          0      0 0                   0 S [mtk_drm_cwb]
root           197     2          0      0 0                   0 S [mtk_drm_fake_vsync:0]
root           198     2          0      0 0                   0 S [ddp_trig]
root           199     2          0      0 0                   0 S [ddp_trig_d]
root           200     2          0      0 0                   0 S [ddp_repaint]
root           201     2          0      0 0                   0 S [ddp_cmdq_trig]
root           202     2          0      0 0                   0 S [pf_release_thread]
root           203     2          0      0 0                   0 S [sf_pf_release_thread]
root           204     2          0      0 0                   0 I [kworker/R-typec_manager_event]
root           205     2          0      0 0                   0 S [signal_fence]
root           206     2          0      0 0                   0 I [kworker/R-typec_manager_muic_event]
root           207     2          0      0 0                   0 S [mode_switch]
root           208     2          0      0 0                   0 S [smi_info_dump_thread]
root           209     2          0      0 0                   0 I [kworker/R-cmdq_flushq]
root           210     2          0      0 0                   0 S [pf_release_thread]
root           211     2          0      0 0                   0 S [sf_pf_release_thread]
root           212     2          0      0 0                   0 S [signal_fence]
root           213     2          0      0 0                   0 S [mode_switch]
root           214     2          0      0 0                   0 S [smi_info_dump_thread]
root           215     2          0      0 0                   0 I [kworker/R-cmdq_flushq]
root           216     2          0      0 0                   0 S [pf_release_thread]
root           217     2          0      0 0                   0 S [sf_pf_release_thread]
root           218     2          0      0 0                   0 S [signal_fence]
root           219     2          0      0 0                   0 S [mode_switch]
root           220     2          0      0 0                   0 S [smi_info_dump_thread]
root           221     2          0      0 0                   0 S [mtk_drm_bind]
root           222     2          0      0 0                   0 I [kworker/R-pure_detect_wq]
root           223     2          0      0 0                   0 I [kworker/R-aal_refresh_trigger]
root           224     2          0      0 0                   0 S [aal_sof_0]
root           225     2          0      0 0                   0 I [kworker/R-usb20_st_wq]
root           226     2          0      0 0                   0 S [irq/219-musb-hdrc]
root           227     2          0      0 0                   0 S [irq/154-mt6358-irq]
root           228     2          0      0 0                   0 D [tz_worker_thread/0]
root           229     2          0      0 0                   0 D [tz_worker_thread/1]
root           230     2          0      0 0                   0 D [tz_worker_thread/2]
root           231     2          0      0 0                   0 D [tz_worker_thread/3]
root           232     2          0      0 0                   0 D [tz_worker_thread/4]
root           233     2          0      0 0                   0 D [tz_worker_thread/5]
root           234     2          0      0 0                   0 D [tz_worker_thread/6]
root           235     2          0      0 0                   0 D [tz_worker_thread/7]
root           236     2          0      0 0                   0 D [ree_time]
root           237     2          0      0 0                   0 D [tz_iwlog_thread]
root           238     2          0      0 0                   0 D [tz_iwsock]
root           239     2          0      0 0                   0 D [teegris rpmb]
root           241     2          0      0 0                   0 S [irq/283-11240000.mmc]
root           242     2          0      0 0                   0 S [irq/37-11240000.mmc cd]
root           243     2          0      0 0                   0 I [kworker/R-lbat_service]
root           244     2          0      0 0                   0 S [scsi_eh_0]
root           245     2          0      0 0                   0 I [kworker/R-scsi_tmf_0]
root           246     2          0      0 0                   0 I [kworker/R-ufs_mtk_eh_wq]
root           247     2          0      0 0                   0 I [kworker/R-ufs_mtk_mb_wq]
root           248     2          0      0 0                   0 I [kworker/R-ufs_eh_wq_0]
root           249     2          0      0 0                   0 I [kworker/R-ufs_clk_gating_0]
root           251     2          0      0 0                   0 I [kworker/R-blkdev_flush_wq]
root           252     2          0      0 0                   0 I [kworker/R-usb_notify]
root           253     2          0      0 0                   0 S [irq/24-s2mf301-irq]
root           254     2          0      0 0                   0 I [kworker/R-0-003c]
root           255     2          0      0 0                   0 I [kworker/R-pdic_irq_event]
root           256     2          0      0 0                   0 I [kworker/R-0-003c]
root           257     2          0      0 0                   0 S [irq/25-s2mf301-usbpd]
root           258     2          0      0 0                   0 I [kworker/R-samsung_mobile_device:battery]
root           259     2          0      0 0                   0 I [kworker/R-charger-wq]
